Tokens,Entities
ⲁⲛⲟⲕ ⲇⲉ ϩⲱ ⲛⲧⲉⲣ ⲓ ⲉⲓ ϣⲁⲣⲱ ⲧⲛ ⲛⲁ ⲥⲛⲏⲩ ⲛⲧ ⲁ ⲓ ⲉⲓ ϩⲛ ⲟⲩ ϫⲓⲥⲉ ⲁⲛ ⲛ ϣⲁϫⲉ ⲏ ⲛ ⲥⲟⲫⲓⲁ ⲉ ⲓ ϫⲱ ⲉⲣⲱ ⲧⲛ ⲛ ⲧ ⲙⲛⲧⲙⲛⲧⲣⲉ ⲙ ⲡ ⲛⲟⲩⲧⲉ .,O O O O O O O O person person O O O O O abstract O O O abstract O O abstract O O O O O O abstract O O person person O
ⲙⲡ ⲓ ⲙⲉⲉⲩⲉ ⲅⲁⲣ ϫⲉ ϯ ⲥⲟⲟⲩⲛ ⲛ ⲗⲁⲁⲩ ⲛϩⲏⲧ ⲧⲏⲩⲧⲛ ⲛⲥⲁ ⲓⲏⲥⲟⲩⲥ ⲡⲉ ⲭⲣⲓⲥⲧⲟⲥ ⲁⲩⲱ ⲡⲁⲓ ⲉ ⲁ ⲩ ⲥⲧⲁⲩⲣⲟⲩ ⲙⲙⲟ ϥ .,O O O O O O O O abstract O abstract O person-Jesus O O O O O O O O O person-Jesus O
ⲁⲛⲟⲕ ϩⲱ ⲛⲧ ⲁ ⲓ ⲉⲓ ϣⲁⲣⲱ ⲧⲛ ϩⲛ ⲟⲩ ⲙⲛⲧϭⲱⲃ . ⲙⲛ ⲟⲩ ϩⲟⲧⲉ . ⲙⲛ ⲟⲩ ⲥⲧⲱⲧ ⲉ ⲛⲁϣⲱ ϥ .,O O O O O O O O O abstract abstract O O abstract abstract O O abstract O O O abstract O
ⲁⲩⲱ ⲡⲁ ϣⲁϫⲉ ⲙⲛ ⲡⲁ ⲧⲁϣⲉⲟⲉⲓϣ ⲛⲧ ⲁ ϥ ϣⲱⲡⲉ ⲁⲛ ϩⲛ ⲟⲩ ⲡⲉⲓⲑⲉ ⲛ ⲥⲟⲫⲓⲁ ⲛ ϣⲁϫⲉ . ⲁⲗⲗⲁ ϩⲛ ⲟⲩ ⲟⲩⲱⲛϩ ⲉⲃⲟⲗ ⲙ ⲡⲛⲉⲩⲙⲁ ϩⲓ ϭⲟⲙ .,O abstract abstract O abstract abstract O O O O O O abstract O O abstract O abstract O O O event O O O abstract O abstract O
ϫⲉⲕⲁⲁⲥ ⲛⲛⲉ ⲛⲉⲧⲛ ⲡⲓⲥⲧⲓⲥ ϣⲱⲡⲉ ϩⲛ ⲟⲩ ⲡⲉⲓⲑⲉ ⲛ ⲥⲟⲫⲓⲁ ⲛ ⲣⲱⲙⲉ ⲁⲗⲗⲁ ϩⲛ ⲟⲩ ϭⲟⲙ ⲛⲧⲉ ⲡ ⲛⲟⲩⲧⲉ .,O O abstract abstract O O abstract O O abstract O abstract O O abstract O O person person O
ⲉ ⲛ ϣⲁϫⲉ ⲇⲉ ⲛ ⲟⲩ ⲥⲟⲫⲓⲁ ϩⲛ ⲛ ⲧⲉⲗⲉⲓⲟⲥ ⲟⲩ ⲥⲟⲫⲓⲁ ⲇⲉ ⲉ ⲛ ⲧⲁ ⲡⲉⲓ ⲁⲓⲱⲛ ⲁⲛ ⲧⲉ ⲟⲩⲇⲉ ⲛ ⲧⲁ ⲛ ⲁⲣⲭⲱⲛ ⲁⲛ ⲧⲉ ⲙ ⲡⲉⲓ ⲁⲓⲱⲛ ⲛⲁⲓ ⲉⲧ ⲛⲁ ⲟⲩⲱⲥϥ .,O O O O O abstract abstract O time time abstract O O O O abstract time time O O O O abstract O person O O O time time O O O person O
ⲁⲗⲗⲁ ⲉ ⲛ ϣⲁϫⲉ ⲛ ⲟⲩ ⲥⲟⲫⲓⲁ ⲛⲧⲉ ⲡ ⲛⲟⲩⲧⲉ ϩⲛ ⲟⲩ ⲙⲩⲥⲧⲏⲣⲓⲟⲛ . ⲧⲁⲓ ⲉⲧ ϩⲏⲡ ⲧ ⲉⲛⲧ ⲁ ⲡ ⲛⲟⲩⲧⲉ ⲡⲟⲣϫ ⲥ ⲉⲃⲟⲗ ϩⲁ ⲧ ϩⲏ ⲛ ⲛ ⲁⲓⲱⲛ ⲉ ⲡⲉⲛ ⲉⲟⲟⲩ .,O O O O O abstract O O person person O abstract abstract O abstract O O O O O person person O O O O abstract O O time time O abstract abstract O
ⲧⲁⲓ ⲉⲧⲉ ⲙⲡⲉ ⲗⲁⲁⲩ ⲛ ⲁⲣⲭⲱⲛ ⲛⲧⲉ ⲡⲉⲓ ⲁⲓⲱⲛ ⲥⲟⲩⲱⲛ ⲥ . ⲉⲛⲉ ⲛⲧ ⲁ ⲩ ⲥⲟⲩⲱⲛ ⲥ ⲅⲁⲣ ⲛⲉ ⲩ ⲛⲁ ⲥⲧⲁⲩⲣⲟⲩ ⲁⲛ ⲡⲉ ⲙ ⲡ ϫⲟⲉⲓⲥ ⲙ ⲡ ⲉⲟⲟⲩ .,abstract O O person O O O time time O abstract O O O O O O O O O O O O O O O person O O abstract abstract O
ⲁⲗⲗⲁ ⲕⲁⲧⲁ ⲧ ϩⲉ ⲉⲧ ⲥⲏϩ ϫⲉ ⲛ ⲉⲧⲉ ⲙⲡⲉ ⲃⲁⲗ ⲛⲁⲩ ⲉⲣⲟ ⲟⲩ . ⲛ ⲉⲧⲉ ⲙⲡⲉ ⲙⲁⲁϫⲉ ⲥⲟⲧⲙ ⲟⲩ . ⲛ ⲉⲧⲉ ⲙⲡ ⲟⲩ ⲁⲗⲉ ⲉϩⲣⲁⲓ ⲉϫⲙ ⲡ ϩⲏⲧ ⲛ ⲣⲱⲙⲉ ⲛⲁⲓ ⲉⲛⲧ ⲁ ⲡ ⲛⲟⲩⲧⲉ ⲥⲃⲧⲱⲧ ⲟⲩ ⲛ ⲛ ⲉⲧ ⲙⲉ ⲙⲙⲟ ϥ .,O O O O O O O abstract O O object O O O O O O O object O O O O O O O O O O abstract O O person O O O person person O O O person O O O person O
ⲁ ⲡ ⲛⲟⲩⲧⲉ ⲅⲁⲣ ϭⲟⲗⲡ ⲟⲩ ⲛⲁ ⲛ ⲉⲃⲟⲗ ϩⲓⲧⲙ ⲡⲉ ⲡⲛⲉⲩⲙⲁ . ⲡⲉ ⲡⲛⲉⲩⲙⲁ ⲅⲁⲣ ϩⲟⲧϩⲧ ⲛ ⲛⲕⲁ ⲛⲓⲙ ⲁⲩⲱ ⲛ ⲉⲧ ϩⲏⲡ ⲛⲧⲉ ⲡ ⲛⲟⲩⲧⲉ .,O person person O O O O O O O abstract abstract O abstract abstract O O O abstract abstract O abstract O O O person person O
